sp	og	filt	evalue	mask	inf
1	480	OP	e-3	norm	1.1
2	3429	OP	e-3	norm	1.1
3	1065	OP	e-3	norm	1.1
4	449	OP	e-3	norm	1.1
5	380	OP	e-3	norm	1.1
6	457	OP	e-3	norm	1.1
7	829	OP	e-3	norm	1.1
8	565	OP	e-3	norm	1.1
9	128	OP	e-3	norm	1.1
10	135	OP	e-3	norm	1.1
11	113	OP	e-3	norm	1.1
12	145	OP	e-3	norm	1.1
13	162	OP	e-3	norm	1.1
14	214	OP	e-3	norm	1.1
15	282	OP	e-3	norm	1.1
16	353	OP	e-3	norm	1.1
17	450	OP	e-3	norm	1.1
18	395	OP	e-3	norm	1.1
1	752	OP	e-3	norm	1.5
2	4071	OP	e-3	norm	1.5
3	1562	OP	e-3	norm	1.5
4	692	OP	e-3	norm	1.5
5	588	OP	e-3	norm	1.5
6	583	OP	e-3	norm	1.5
7	1080	OP	e-3	norm	1.5
8	829	OP	e-3	norm	1.5
9	256	OP	e-3	norm	1.5
10	224	OP	e-3	norm	1.5
11	161	OP	e-3	norm	1.5
12	162	OP	e-3	norm	1.5
13	180	OP	e-3	norm	1.5
14	232	OP	e-3	norm	1.5
15	257	OP	e-3	norm	1.5
16	386	OP	e-3	norm	1.5
17	423	OP	e-3	norm	1.5
18	327	OP	e-3	norm	1.5
1	460	OP	e-3	sens	1.1
2	2758	OP	e-3	sens	1.1
3	902	OP	e-3	sens	1.1
4	370	OP	e-3	sens	1.1
5	340	OP	e-3	sens	1.1
6	362	OP	e-3	sens	1.1
7	638	OP	e-3	sens	1.1
8	419	OP	e-3	sens	1.1
9	122	OP	e-3	sens	1.1
10	124	OP	e-3	sens	1.1
11	118	OP	e-3	sens	1.1
12	145	OP	e-3	sens	1.1
13	164	OP	e-3	sens	1.1
14	222	OP	e-3	sens	1.1
15	298	OP	e-3	sens	1.1
16	385	OP	e-3	sens	1.1
17	461	OP	e-3	sens	1.1
18	472	OP	e-3	sens	1.1
1	708	OP	e-3	sens	1.5
2	3413	OP	e-3	sens	1.5
3	1443	OP	e-3	sens	1.5
4	680	OP	e-3	sens	1.5
5	564	OP	e-3	sens	1.5
6	518	OP	e-3	sens	1.5
7	834	OP	e-3	sens	1.5
8	649	OP	e-3	sens	1.5
9	248	OP	e-3	sens	1.5
10	228	OP	e-3	sens	1.5
11	193	OP	e-3	sens	1.5
12	204	OP	e-3	sens	1.5
13	212	OP	e-3	sens	1.5
14	280	OP	e-3	sens	1.5
15	351	OP	e-3	sens	1.5
16	446	OP	e-3	sens	1.5
17	539	OP	e-3	sens	1.5
18	385	OP	e-3	sens	1.5
1	493	OP	e-6	norm	1.1
2	3553	OP	e-6	norm	1.1
3	1085	OP	e-6	norm	1.1
4	433	OP	e-6	norm	1.1
5	410	OP	e-6	norm	1.1
6	463	OP	e-6	norm	1.1
7	883	OP	e-6	norm	1.1
8	584	OP	e-6	norm	1.1
9	142	OP	e-6	norm	1.1
10	131	OP	e-6	norm	1.1
11	115	OP	e-6	norm	1.1
12	143	OP	e-6	norm	1.1
13	153	OP	e-6	norm	1.1
14	212	OP	e-6	norm	1.1
15	293	OP	e-6	norm	1.1
16	367	OP	e-6	norm	1.1
17	436	OP	e-6	norm	1.1
18	384	OP	e-6	norm	1.1
1	758	OP	e-6	norm	1.5
2	4155	OP	e-6	norm	1.5
3	1536	OP	e-6	norm	1.5
4	679	OP	e-6	norm	1.5
5	591	OP	e-6	norm	1.5
6	581	OP	e-6	norm	1.5
7	1127	OP	e-6	norm	1.5
8	814	OP	e-6	norm	1.5
9	253	OP	e-6	norm	1.5
10	208	OP	e-6	norm	1.5
11	153	OP	e-6	norm	1.5
12	156	OP	e-6	norm	1.5
13	181	OP	e-6	norm	1.5
14	220	OP	e-6	norm	1.5
15	268	OP	e-6	norm	1.5
16	369	OP	e-6	norm	1.5
17	426	OP	e-6	norm	1.5
18	319	OP	e-6	norm	1.5
1	479	OP	e-6	sens	1.1
2	3055	OP	e-6	sens	1.1
3	944	OP	e-6	sens	1.1
4	410	OP	e-6	sens	1.1
5	373	OP	e-6	sens	1.1
6	413	OP	e-6	sens	1.1
7	737	OP	e-6	sens	1.1
8	479	OP	e-6	sens	1.1
9	130	OP	e-6	sens	1.1
10	120	OP	e-6	sens	1.1
11	108	OP	e-6	sens	1.1
12	164	OP	e-6	sens	1.1
13	150	OP	e-6	sens	1.1
14	244	OP	e-6	sens	1.1
15	297	OP	e-6	sens	1.1
16	373	OP	e-6	sens	1.1
17	460	OP	e-6	sens	1.1
18	454	OP	e-6	sens	1.1
1	716	OP	e-6	sens	1.5
2	3656	OP	e-6	sens	1.5
3	1417	OP	e-6	sens	1.5
4	668	OP	e-6	sens	1.5
5	564	OP	e-6	sens	1.5
6	531	OP	e-6	sens	1.5
7	928	OP	e-6	sens	1.5
8	671	OP	e-6	sens	1.5
9	225	OP	e-6	sens	1.5
10	216	OP	e-6	sens	1.5
11	176	OP	e-6	sens	1.5
12	198	OP	e-6	sens	1.5
13	197	OP	e-6	sens	1.5
14	277	OP	e-6	sens	1.5
15	327	OP	e-6	sens	1.5
16	425	OP	e-6	sens	1.5
17	516	OP	e-6	sens	1.5
18	376	OP	e-6	sens	1.5
1	342	raw	e-3	norm	1.1
2	2615	raw	e-3	norm	1.1
3	698	raw	e-3	norm	1.1
4	321	raw	e-3	norm	1.1
5	506	raw	e-3	norm	1.1
6	319	raw	e-3	norm	1.1
7	712	raw	e-3	norm	1.1
8	753	raw	e-3	norm	1.1
9	117	raw	e-3	norm	1.1
10	101	raw	e-3	norm	1.1
11	63	raw	e-3	norm	1.1
12	69	raw	e-3	norm	1.1
13	130	raw	e-3	norm	1.1
14	177	raw	e-3	norm	1.1
15	260	raw	e-3	norm	1.1
16	341	raw	e-3	norm	1.1
17	510	raw	e-3	norm	1.1
18	633	raw	e-3	norm	1.1
1	638	raw	e-3	norm	1.5
2	3285	raw	e-3	norm	1.5
3	1058	raw	e-3	norm	1.5
4	504	raw	e-3	norm	1.5
5	734	raw	e-3	norm	1.5
6	485	raw	e-3	norm	1.5
7	947	raw	e-3	norm	1.5
8	1130	raw	e-3	norm	1.5
9	252	raw	e-3	norm	1.5
10	206	raw	e-3	norm	1.5
11	113	raw	e-3	norm	1.5
12	115	raw	e-3	norm	1.5
13	161	raw	e-3	norm	1.5
14	211	raw	e-3	norm	1.5
15	273	raw	e-3	norm	1.5
16	399	raw	e-3	norm	1.5
17	609	raw	e-3	norm	1.5
18	580	raw	e-3	norm	1.5
1	336	raw	e-3	sens	1.1
2	1892	raw	e-3	sens	1.1
3	522	raw	e-3	sens	1.1
4	271	raw	e-3	sens	1.1
5	426	raw	e-3	sens	1.1
6	258	raw	e-3	sens	1.1
7	503	raw	e-3	sens	1.1
8	559	raw	e-3	sens	1.1
9	86	raw	e-3	sens	1.1
10	77	raw	e-3	sens	1.1
11	68	raw	e-3	sens	1.1
12	89	raw	e-3	sens	1.1
13	112	raw	e-3	sens	1.1
14	194	raw	e-3	sens	1.1
15	228	raw	e-3	sens	1.1
16	338	raw	e-3	sens	1.1
17	556	raw	e-3	sens	1.1
18	713	raw	e-3	sens	1.1
1	575	raw	e-3	sens	1.5
2	2430	raw	e-3	sens	1.5
3	780	raw	e-3	sens	1.5
4	440	raw	e-3	sens	1.5
5	698	raw	e-3	sens	1.5
6	421	raw	e-3	sens	1.5
7	743	raw	e-3	sens	1.5
8	833	raw	e-3	sens	1.5
9	214	raw	e-3	sens	1.5
10	187	raw	e-3	sens	1.5
11	121	raw	e-3	sens	1.5
12	133	raw	e-3	sens	1.5
13	163	raw	e-3	sens	1.5
14	274	raw	e-3	sens	1.5
15	347	raw	e-3	sens	1.5
16	500	raw	e-3	sens	1.5
17	748	raw	e-3	sens	1.5
18	692	raw	e-3	sens	1.5
1	355	raw	e-6	norm	1.1
2	2839	raw	e-6	norm	1.1
3	735	raw	e-6	norm	1.1
4	331	raw	e-6	norm	1.1
5	553	raw	e-6	norm	1.1
6	338	raw	e-6	norm	1.1
7	777	raw	e-6	norm	1.1
8	830	raw	e-6	norm	1.1
9	110	raw	e-6	norm	1.1
10	108	raw	e-6	norm	1.1
