Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii
OG0000000													PKNH_0000100,PKNH_0000200,PKNH_0000300,PKNH_0000400,PKNH_0000700,PKNH_0001000,PKNH_0001100,PKNH_0001200,PKNH_0001300,PKNH_0001400,PKNH_0001500,PKNH_0001600,PKNH_0001700,PKNH_0001800,PKNH_0001900,PKNH_0002000,PKNH_0002100,PKNH_0002200,PKNH_0002300,PKNH_0002400,PKNH_0002500,PKNH_0002600,PKNH_0002700,PKNH_0002800,PKNH_0002900,PKNH_0003200,PKNH_0003300,PKNH_0003400,PKNH_0003500,PKNH_0003600,PKNH_0003700,PKNH_0003800,PKNH_0003900,PKNH_0004000,PKNH_0004100,PKNH_0004200,PKNH_0004300,PKNH_0004400,PKNH_0004500,PKNH_0004600,PKNH_0004700,PKNH_0004800,PKNH_0004900,PKNH_0005000,PKNH_0005100,PKNH_0005200,PKNH_0005300,PKNH_0005400,PKNH_0005500,PKNH_0005600,PKNH_0005700,PKNH_0005900,PKNH_0006000,PKNH_0006100,PKNH_0006200,PKNH_0100100,PKNH_0100200,PKNH_0102800,PKNH_0113400,PKNH_0113500,PKNH_0118600,PKNH_0200100,PKNH_0200200,PKNH_0203000,PKNH_0206000,PKNH_0208000,PKNH_0214100,PKNH_0214200,PKNH_0300100,PKNH_0307300,PKNH_0311400,PKNH_0311500,PKNH_0313200,PKNH_0313300,PKNH_0313400,PKNH_0314100,PKNH_0322000,PKNH_0322100,PKNH_0400100,PKNH_0407200,PKNH_0408100,PKNH_0408200,PKNH_0416700,PKNH_0418900,PKNH_0423700,PKNH_0424800,PKNH_0500100,PKNH_0500400,PKNH_0500500,PKNH_0500600,PKNH_0500700,PKNH_0500800,PKNH_0500900,PKNH_0502500,PKNH_0507800,PKNH_0508000,PKNH_0514100,PKNH_0600100,PKNH_0607400,PKNH_0613100,PKNH_0613200,PKNH_0616600,PKNH_0618900,PKNH_0619000,PKNH_0623900,PKNH_0706000,PKNH_0724500,PKNH_0725000,PKNH_0727400,PKNH_0735200,PKNH_0735300,PKNH_0800100,PKNH_0800600,PKNH_0808000,PKNH_0808100,PKNH_0814200,PKNH_0814300,PKNH_0818100,PKNH_0820400,PKNH_0822100,PKNH_0825500,PKNH_0829900,PKNH_0831300,PKNH_0831400,PKNH_0837700,PKNH_0837800,PKNH_0837900,PKNH_0841400,PKNH_0900100,PKNH_0907700,PKNH_0907800,PKNH_0913400,PKNH_0924700,PKNH_0929800,PKNH_0932000,PKNH_0940500,PKNH_0942700,PKNH_1000100,PKNH_1000200,PKNH_1002700,PKNH_1006100,PKNH_1014200,PKNH_1018000,PKNH_1021100,PKNH_1021200,PKNH_1030000,PKNH_1104300,PKNH_1110200,PKNH_1112700,PKNH_1116300,PKNH_1116400,PKNH_1116500,PKNH_1120400,PKNH_1120500,PKNH_1120600,PKNH_1130000,PKNH_1138600,PKNH_1138800,PKNH_1140500,PKNH_1144700,PKNH_1146500,PKNH_1149900,PKNH_1200100,PKNH_1200300,PKNH_1211900,PKNH_1219200,PKNH_1219350,PKNH_1226500,PKNH_1247200,PKNH_1247300,PKNH_1250000,PKNH_1254200,PKNH_1255000,PKNH_1272200,PKNH_1300100,PKNH_1306200,PKNH_1312500,PKNH_1320000,PKNH_1325000,PKNH_1325100,PKNH_1325200,PKNH_1326600,PKNH_1330200,PKNH_1340800,PKNH_1344100,PKNH_1357300,PKNH_1357400,PKNH_1400100,PKNH_1407000,PKNH_1412100,PKNH_1412200,PKNH_1412300,PKNH_1427700,PKNH_1431700,PKNH_1432600,PKNH_1451200,PKNH_1454800,PKNH_1459200,PKNH_1459300,PKNH_1460800,PKNH_1463800,PKNH_1464200,PKNH_1473400					
OG0000001	EDO05951.1																TA02865,TA02945,TA02955,TA02960,TA03835,TA03845,TA03850,TA03855,TA04235,TA04240,TA04460,TA04465,TA04785,TA04790,TA04795,TA04820,TA04825,TA04915,TA04970,TA05235,TA05240,TA05245,TA05250,TA05255,TA05770,TA05775,TA05780,TA05960,TA05965,TA05970,TA06005,TA06025,TA06070,TA06090,TA06095,TA06260,TA06265,TA06330,TA06360,TA06370,TA06580,TA06635,TA06740,TA06745,TA06880,TA06895,TA06900,TA06955,TA06970,TA06975,TA06980,TA07025,TA07720,TA07730,TA07765,TA07770,TA08285,TA08535,TA08540,TA09255,TA09260,TA09265,TA09270,TA09280,TA09285,TA09600,TA10165,TA10865,TA11000,TA12045,TA13385,TA13430,TA13890,TA13940,TA14120,TA14125,TA14130,TA14135,TA14140,TA14540,TA14605,TA14645,TA14840,TA15010,TA15015,TA15020,TA15050,TA15055,TA15080,TA15085,TA15090,TA15095,TA15310,TA15315,TA15320,TA15325,TA15445,TA15485,TA15500,TA15620,TA15625,TA16280,TA16285,TA16550,TA16600,TA16605,TA16765,TA16790,TA16795,TA16870,TA16875,TA16895,TA16900,TA17015,TA17570,TA17585,TA17865,TA18010,TA18390,TA18395,TA18435,TA18440,TA18545,TA18640,TA18645,TA18650,TA18655,TA18670,TA18675,TA20150,TA21375,TA21380,TA21385,TA21390,TA21395,TA21400	
OG0000002														PRCDC_0002300.1,PRCDC_0002400.1,PRCDC_0002500.1,PRCDC_0002800.1,PRCDC_0003000.1,PRCDC_0003200.1,PRCDC_0004400.1,PRCDC_0007100.1,PRCDC_0007200.1,PRCDC_0007400.1,PRCDC_0008000.1,PRCDC_0008100.1,PRCDC_0008700.1,PRCDC_0009300.1,PRCDC_0009600.1,PRCDC_0009800.1,PRCDC_0010000.1,PRCDC_0012800.1,PRCDC_0014000.1,PRCDC_0014100.1,PRCDC_0014200.1,PRCDC_0014600.1,PRCDC_0014700.1,PRCDC_0015900.1,PRCDC_0016000.1,PRCDC_0016500.1,PRCDC_0016800.1,PRCDC_0017100.1,PRCDC_0018000.1,PRCDC_0018200.1,PRCDC_0018700.1,PRCDC_0018900.1,PRCDC_0019100.1,PRCDC_0019400.1,PRCDC_0020900.1,PRCDC_0021000.1,PRCDC_0022200.1,PRCDC_0022300.1,PRCDC_0022500.1,PRCDC_0022700.1,PRCDC_0023100.1,PRCDC_0023400.1,PRCDC_0024400.1,PRCDC_0024800.1,PRCDC_0024900.1,PRCDC_0025400.1,PRCDC_0025600.1,PRCDC_0025800.1,PRCDC_0026300.1,PRCDC_0026400.1,PRCDC_0026500.1,PRCDC_0026800.1,PRCDC_0027900.1,PRCDC_0028000.1,PRCDC_0028600.1,PRCDC_0029000.1,PRCDC_0029200.1,PRCDC_0029300.1,PRCDC_0029700.1,PRCDC_0030100.1,PRCDC_0030400.1,PRCDC_0031400.1,PRCDC_0031900.1,PRCDC_0032100.1,PRCDC_0032300.1,PRCDC_0032700.1,PRCDC_0033700.1,PRCDC_0033900.1,PRCDC_0034800.1,PRCDC_0035500.1,PRCDC_0035700.1,PRCDC_0038100.1,PRCDC_0038500.1,PRCDC_0038600.1,PRCDC_0039300.1,PRCDC_0039400.1,PRCDC_0040000.1,PRCDC_0040200.1,PRCDC_0040300.1,PRCDC_0040400.1,PRCDC_0041600.1,PRCDC_0041700.1,PRCDC_0042100.1,PRCDC_0042300.1,PRCDC_0042400.1,PRCDC_0043400.1,PRCDC_0043500.1,PRCDC_0044500.1,PRCDC_0045900.1,PRCDC_0046000.1,PRCDC_0046100.1,PRCDC_0046200.1,PRCDC_0046600.1,PRCDC_0046800.1,PRCDC_0047400.1,PRCDC_0048500.1,PRCDC_0048700.1,PRCDC_0049500.1,PRCDC_0049600.1,PRCDC_0050000.1,PRCDC_0050100.1,PRCDC_0050300.1,PRCDC_0050900.1,PRCDC_0051000.1,PRCDC_0051400.1,PRCDC_0051900.1,PRCDC_0052500.1,PRCDC_0053000.1,PRCDC_0053700.1,PRCDC_0055500.1,PRCDC_0056400.1,PRCDC_0057000.1,PRCDC_0058700.1,PRCDC_0058800.1,PRCDC_0059300.1,PRCDC_0059400.1,PRCDC_0060900.1,PRCDC_0061200.1,PRCDC_0113100.1,PRCDC_0410800.1,PRCDC_0729200.1,PRCDC_0729600.1,PRCDC_0730100.1,PRCDC_1039100.1				
OG0000003	EDO07292.2	KAF8817676.1,KAF8817901.1,KAF8819609.1,KAF8821412.1,KAF8821952.1,KAF8821953.1,KAF8823129.1	cgd1_750-RA	cyc_00143,cyc_00144,cyc_00833,cyc_00834,cyc_02563,cyc_03719,cyc_04028,cyc_04304,cyc_05022,cyc_05031,cyc_07148,cyc_07625	ETH2_0530600,ETH2_0651500,ETH2_0729200,ETH2_0826600,ETH2_0937800,ETH2_1057200,ETH2_1311200,ETH2_1445700,ETH2_1535100,ETH2_1565900	Htart_000164800,Htart_000316600,Htart_000320800,Htart_000335800,Htart_000445800,Htart_000515500,Htart_000515600	VWU48240,VWU49046,VWU49406,VWU51350,VWU51731,VWU51810	Ncaninum_LIV_000051700,Ncaninum_LIV_000083100,Ncaninum_LIV_000122500,Ncaninum_LIV_000275500,Ncaninum_LIV_000407400,Ncaninum_LIV_000488900,Ncaninum_LIV_000519600,Ncaninum_LIV_000613700,Ncaninum_LIV_000635000,Ncaninum_LIV_000660300,Ncaninum_LIV_000783800	NEPH_001265-T1,NEPH_002042-T1,NEPH_002231-T1,NEPH_002744-T1,NEPH_005917-T1,NEPH_006507-T1,NEPH_006797-T1,NEPH_008214-T1,NEPH_009548-T1,NEPH_009826-T1,NEPH_010109-T1,NEPH_010708-T1,NEPH_010721-T1	PF3D7_0729900.1,PF3D7_0905300.1,PF3D7_1023100.1,PF3D7_1122900.1	PGSY75_0729900.1,PGSY75_0905300.1,PGSY75_1023100.1,PGSY75_1122900.1	PGAL8A_00095000,PGAL8A_00349500,PGAL8A_00417800,PGAL8A_00482400	PKNH_0214800,PKNH_0607600,PKNH_0703000,PKNH_0920700	PRCDC_0726700.1,PRCDC_0903400.1,PRCDC_1022500.1,PRCDC_1121300.1	PVP01_0215600,PVP01_0608300,PVP01_0703700,PVP01_0923500	SN3_00100755,SN3_00101870,SN3_00400070,SN3_00501035,SN3_00800745,SN3_00800750,SN3_00800755,SN3_00900935,SN3_00900950,SN3_01100220,SN3_01200375,SN3_01400085,SN3_02100200	TA05900	TGME49_203135,TGME49_230830,TGME49_235920,TGME49_243482,TGME49_249840,TGME49_261022,TGME49_273478,TGME49_286932,TGME49_294550,TGME49_306338,TGME49_309980,TGME49_324000,TGME49_327400
OG0000004															PVP01_0001520,PVP01_0001530,PVP01_0001540,PVP01_0001610,PVP01_0001620,PVP01_0001730,PVP01_0001740,PVP01_0001750,PVP01_0001760,PVP01_0001770,PVP01_0001890,PVP01_0002080,PVP01_0002160,PVP01_0002260,PVP01_0002270,PVP01_0002340,PVP01_0002450,PVP01_0002470,PVP01_0002620,PVP01_0002670,PVP01_0002680,PVP01_0002700,PVP01_0002770,PVP01_0002870,PVP01_0002960,PVP01_0003160,PVP01_0003170,PVP01_0003180,PVP01_0003300,PVP01_0003340,PVP01_0003870,PVP01_0003990,PVP01_0004000,PVP01_0004790,PVP01_0004850,PVP01_0004860,PVP01_0004940,PVP01_0004980,PVP01_0005070,PVP01_0005110,PVP01_0005360,PVP01_0005440,PVP01_0005580,PVP01_0005610,PVP01_0005620,PVP01_0005960,PVP01_0005990,PVP01_0006170,PVP01_0006180,PVP01_0006190,PVP01_0006200,PVP01_0006210,PVP01_0006220,PVP01_0006230,PVP01_0006250,PVP01_0006320,PVP01_0006330,PVP01_0006450,PVP01_0006540,PVP01_0006560,PVP01_0006620,PVP01_0006800,PVP01_0006920,PVP01_0007070,PVP01_0007210,PVP01_0007280,PVP01_0007480,PVP01_0007490,PVP01_0007670,PVP01_0007700,PVP01_0007710,PVP01_0007980,PVP01_0007990,PVP01_0008080,PVP01_0008130,PVP01_0008140,PVP01_0008600,PVP01_0008660,PVP01_0008800,PVP01_0008810,PVP01_0008900,PVP01_0008940,PVP01_0009150,PVP01_0009240,PVP01_0009720,PVP01_0010010,PVP01_0010800,PVP01_0011040,PVP01_0011110,PVP01_0218600,PVP01_0218700,PVP01_0219200,PVP01_0220300,PVP01_0401300,PVP01_0402900,PVP01_0500100,PVP01_0501000,PVP01_0501600,PVP01_0501700,PVP01_0736500,PVP01_0736600,PVP01_0737400,PVP01_0737500,PVP01_0738300,PVP01_0738500,PVP01_0738600,PVP01_0738900,PVP01_0840000,PVP01_0840200,PVP01_0900200,PVP01_0950100,PVP01_1035500,PVP01_1035600,PVP01_1036000,PVP01_1100100,PVP01_1200900,PVP01_1273000,PVP01_1472600			
OG0000005															PVP01_0001660,PVP01_0001810,PVP01_0001920,PVP01_0002000,PVP01_0002130,PVP01_0002310,PVP01_0002380,PVP01_0002510,PVP01_0002820,PVP01_0002930,PVP01_0003020,PVP01_0003090,PVP01_0003230,PVP01_0003270,PVP01_0003540,PVP01_0003610,PVP01_0003650,PVP01_0003720,PVP01_0003810,PVP01_0003930,PVP01_0004120,PVP01_0004170,PVP01_0004190,PVP01_0004440,PVP01_0004560,PVP01_0004610,PVP01_0004660,PVP01_0004700,PVP01_0005010,PVP01_0005020,PVP01_0005180,PVP01_0005200,PVP01_0005220,PVP01_0005270,PVP01_0005330,PVP01_0005400,PVP01_0005410,PVP01_0005530,PVP01_0005650,PVP01_0005920,PVP01_0006050,PVP01_0006280,PVP01_0006410,PVP01_0006590,PVP01_0006680,PVP01_0006810,PVP01_0006860,PVP01_0006990,PVP01_0007160,PVP01_0007410,PVP01_0007460,PVP01_0007570,PVP01_0007610,PVP01_0007740,PVP01_0008370,PVP01_0008520,PVP01_0008560,PVP01_0008710,PVP01_0008780,PVP01_0009020,PVP01_0009320,PVP01_0009470,PVP01_0009500,PVP01_0009630,PVP01_0009710,PVP01_0009790,PVP01_0009820,PVP01_0009890,PVP01_0010040,PVP01_0010130,PVP01_0010460,PVP01_0010530,PVP01_0010730,PVP01_0011000,PVP01_0011030,PVP01_0011150,PVP01_0100300,PVP01_0121000,PVP01_0121500,PVP01_0219800,PVP01_0219900,PVP01_0220600,PVP01_0221200,PVP01_0221600,PVP01_0400500,PVP01_0402200,PVP01_0424400,PVP01_0735800,PVP01_0737700,PVP01_0840800,PVP01_1036100,PVP01_1200400,PVP01_1274000,PVP01_1274900,PVP01_1473000			
OG0000006										PF3D7_0100200.1,PF3D7_0100400.1,PF3D7_0100800.1,PF3D7_0101600.1,PF3D7_0115200.1,PF3D7_0115600.1,PF3D7_0200200.1,PF3D7_0200500.1,PF3D7_0200600.1,PF3D7_0200700.1,PF3D7_0201200.1,PF3D7_0222600.1,PF3D7_0223100.1,PF3D7_0223400.1,PF3D7_0300200.1,PF3D7_0300700.1,PF3D7_0300800.1,PF3D7_0324400.1,PF3D7_0324800.1,PF3D7_0400300.1,PF3D7_0400500.1,PF3D7_0400700.1,PF3D7_0400900.1,PF3D7_0401200.1,PF3D7_0401300.1,PF3D7_0401400.1,PF3D7_0413200.1,PF3D7_0413300.1,PF3D7_0425700.1,PF3D7_0425900.1,PF3D7_0500400.1,PF3D7_0600300.1,PF3D7_0600500.1,PF3D7_0617700.1,PF3D7_0632000.1,PF3D7_0632100.1,PF3D7_0632200.1,PF3D7_0632400.1,PF3D7_0632700.1,PF3D7_0700200.1,PF3D7_0700300.1,PF3D7_0701100.1,PF3D7_0713000.1,PF3D7_0732200.1,PF3D7_0732300.1,PF3D7_0732400.1,PF3D7_0732500.1,PF3D7_0732900.1,PF3D7_0800400.1,PF3D7_0800500.1,PF3D7_0808800.1,PF3D7_0833000.1,PF3D7_0833100.1,PF3D7_0833400.1,PF3D7_0900200.1,PF3D7_0900400.1,PF3D7_0900600.1,PF3D7_0900700.1,PF3D7_0901300.1,PF3D7_0901400.1,PF3D7_0901500.1,PF3D7_0937500.1,PF3D7_0937700.1,PF3D7_1000200.1,PF3D7_1000400.1,PF3D7_1000500.1,PF3D7_1040000.1,PF3D7_1040300.1,PF3D7_1040700.1,PF3D7_1041000.1,PF3D7_1041200.1,PF3D7_1100300.1,PF3D7_1100400.1,PF3D7_1100500.1,PF3D7_1101300.1,PF3D7_1150000.1,PF3D7_1150200.1,PF3D7_1150300.1,PF3D7_1200200.1,PF3D7_1200500.1,PF3D7_1253700.1,PF3D7_1254400.1,PF3D7_1254700.1,PF3D7_1254800.1,PF3D7_1300400.1,PF3D7_1300500.1,PF3D7_1300700.1,PF3D7_1373000.1,PF3D7_1373100.1,PF3D7_1373400.1,PF3D7_1400200.1,PF3D7_1400400.1,PF3D7_1400600.1,PF3D7_1480000.1								
OG0000007															PVP01_0001870,PVP01_0002170,PVP01_0002280,PVP01_0002350,PVP01_0002550,PVP01_0002570,PVP01_0002600,PVP01_0002610,PVP01_0002630,PVP01_0002990,PVP01_0003190,PVP01_0003200,PVP01_0003460,PVP01_0003470,PVP01_0003550,PVP01_0004510,PVP01_0004770,PVP01_0004780,PVP01_0004870,PVP01_0004900,PVP01_0005080,PVP01_0005100,PVP01_0005120,PVP01_0005140,PVP01_0005370,PVP01_0005490,PVP01_0005590,PVP01_0005700,PVP01_0005980,PVP01_0006120,PVP01_0006240,PVP01_0006350,PVP01_0006520,PVP01_0006550,PVP01_0006630,PVP01_0007020,PVP01_0007190,PVP01_0007250,PVP01_0007770,PVP01_0008070,PVP01_0008250,PVP01_0008440,PVP01_0008610,PVP01_0008670,PVP01_0008740,PVP01_0008850,PVP01_0008870,PVP01_0008890,PVP01_0008910,PVP01_0008950,PVP01_0008970,PVP01_0008980,PVP01_0009120,PVP01_0009130,PVP01_0009140,PVP01_0009250,PVP01_0009700,PVP01_0009930,PVP01_0010080,PVP01_0010560,PVP01_0010760,PVP01_0101000,PVP01_0218900,PVP01_0219100,PVP01_0220500,PVP01_0401000,PVP01_0401200,PVP01_0401400,PVP01_0401600,PVP01_0403000,PVP01_0501900,PVP01_0535200,PVP01_0535300,PVP01_0738700,PVP01_0739050,PVP01_0739100,PVP01_0840300,PVP01_0900100,PVP01_0900400,PVP01_1035900,PVP01_1272800,PVP01_1272900,PVP01_1273400,PVP01_1273600,PVP01_1274500,PVP01_1274600			
OG0000008												PGAL8A_00040300,PGAL8A_00040900,PGAL8A_00041300,PGAL8A_00041400,PGAL8A_00041700,PGAL8A_00041800,PGAL8A_00041900,PGAL8A_00042000,PGAL8A_00053300,PGAL8A_00179200,PGAL8A_00187700,PGAL8A_00187800,PGAL8A_00187900,PGAL8A_00188000,PGAL8A_00188300,PGAL8A_00188400,PGAL8A_00188500,PGAL8A_00188600,PGAL8A_00188700,PGAL8A_00188800,PGAL8A_00188900,PGAL8A_00189100,PGAL8A_00189200,PGAL8A_00189400,PGAL8A_00190100,PGAL8A_00194080,PGAL8A_00264800,PGAL8A_00266600,PGAL8A_00266800,PGAL8A_00266900,PGAL8A_00267000,PGAL8A_00267200,PGAL8A_00267300,PGAL8A_00267400,PGAL8A_00267500,PGAL8A_00267700,PGAL8A_00267800,PGAL8A_00267880,PGAL8A_00267900,PGAL8A_00269700,PGAL8A_00270700,PGAL8A_00271200,PGAL8A_00271400,PGAL8A_00271900,PGAL8A_00272000,PGAL8A_00321700,PGAL8A_00322000,PGAL8A_00322400,PGAL8A_00322500,PGAL8A_00322600,PGAL8A_00322700,PGAL8A_00322800,PGAL8A_00322900,PGAL8A_00323000,PGAL8A_00323600,PGAL8A_00323700,PGAL8A_00323900,PGAL8A_00325700,PGAL8A_00325800,PGAL8A_00325900,PGAL8A_00326000,PGAL8A_00326100,PGAL8A_00326300,PGAL8A_00326400,PGAL8A_00326800,PGAL8A_00326900,PGAL8A_00327000,PGAL8A_00327100,PGAL8A_00328700,PGAL8A_00328900,PGAL8A_00329000,PGAL8A_00329100,PGAL8A_00329200,PGAL8A_00378200,PGAL8A_00413000,PGAL8A_00413400,PGAL8A_00413600,PGAL8A_00449600,PGAL8A_00449700,PGAL8A_00449900,PGAL8A_00450000,PGAL8A_00497800,PGAL8A_00498000,PGAL8A_00498100						
OG0000009	EDO05097.1,EDO05100.1,EDO05102.1,EDO05207.1,EDO05217.1,EDO05227.2,EDO05228.1,EDO05465.1,EDO05466.2,EDO05469.2,EDO05472.2,EDO05473.1,EDO05533.1,EDO05592.1,EDO05595.2,EDO05599.1,EDO05600.1,EDO05606.1,EDO05747.1,EDO05748.1,EDO05882.1,EDO05883.2,EDO05965.2,EDO05972.1,EDO05997.1,EDO05999.1,EDO06050.1,EDO06052.2,EDO06098.1,EDO06099.1,EDO06182.1,EDO06183.1,EDO06186.1,EDO06188.2,EDO06366.1,EDO06367.1,EDO06369.1,EDO06372.1,EDO06374.1,EDO06628.1,EDO06633.1,EDO06731.1,EDO06927.1,EDO06929.1,EDO06997.1,EDO06999.1,EDO07000.1,EDO07145.2,EDO07146.2,EDO07149.1,EDO07153.2,EDO07565.1,EDO07573.1,EDO07579.1,EDO07638.1,EDO07683.1,EDO07689.1,EDO07695.2,EDO07697.1,EDO07797.2,EDO07799.1,EDO07803.1,EDO07874.1,EDO07875.1,EDO08168.1,EDO08329.1,EDO08332.2,EDO08333.1,EDO08746.2,KAG6440170.1,KAG6440183.1,KAG6440197.1,KAG6440204.1,KAG6440206.1,KAG6440211.1,KAG6440212.1,KAG6440223.1,KAG6440227.1																	
